Minisector,PIA,NOR,Fastest
0,254.29622818945623,253.10451822248342,PIA
1,225.0775561304712,218.06458803960365,PIA
2,212.20310397340268,212.8159034983492,NOR
3,256.42562528,263.1110624171683,NOR
4,270.3528600131991,276.4769380849879,NOR
5,289.1566381248603,291.99848800530845,NOR
6,147.49341168789667,160.45885959208275,NOR
7,190.00789214926294,183.39565520354748,PIA
8,270.5341927941243,269.8288757814133,PIA
9,296.5247877359447,296.846020779861,NOR
10,306.3394018714408,307.363416349052,NOR
11,304.8788851073231,304.37594302535666,PIA
12,114.00732613483753,112.11573364779025,PIA
13,192.4948341672295,187.29732370265566,PIA
14,271.38634263404015,268.953814552449,PIA
15,292.8924382465587,295.718076585996,NOR
16,296.4172633953185,295.7243716305577,PIA
17,189.3211013158048,194.00916009466417,NOR
18,225.13428552059395,219.95678426493012,PIA
19,273.2269162585864,272.41497022384004,PIA
20,157.75120904189887,150.35220498071118,PIA
21,148.35714812408065,146.70591511246613,PIA
22,228.82089761850656,222.07341819439822,PIA
23,242.93217918456415,238.2515873684282,PIA
24,160.00926006206598,159.2627743564699,PIA
25,225.9,226.8000014222222,NOR
