Minisector,LEC,RIC,Fastest
0,297.883928431746,303.3605354819048,RIC
1,301.6491227508772,306.00172311578945,RIC
2,301.65796077886347,298.9298538160618,LEC
3,215.41466168888888,221.7588164923077,RIC
4,223.52503048144808,220.99794967128142,LEC
5,119.40640751719013,119.71013310942361,RIC
6,223.96399880533332,221.74230959005342,LEC
7,264.4439390545454,263.356158515942,LEC
8,233.41992850856784,215.42876382290936,LEC
9,122.02999788432146,123.52841348121297,RIC
10,238.76775262608697,238.26032464430642,LEC
11,247.15766737066667,249.55634133333334,RIC
12,133.60360335450565,133.2031826805475,LEC
13,218.73951659775258,217.25390749440183,LEC
14,264.2360503652174,264.8469693090909,RIC
15,216.043311265295,215.57904102181269,LEC
16,167.45465565490196,171.89276626077688,RIC
17,244.8266821877005,241.66831139330478,LEC
18,127.73645326376811,119.51151963419831,LEC
19,149.66963580589496,146.10122605247403,LEC
20,203.7541438802721,207.2139320383414,RIC
21,255.87435354985294,257.27333725606337,RIC
22,272.61456828952385,274.50230099301587,RIC
23,281.8763887238095,285.3608176862723,RIC
24,290.5048806857143,293.7548329386667,RIC
25,295.33333333333337,,LEC
