Minisector,SAI,VET,Fastest
0,249.86012596657147,250.74842151947433,VET
1,119.69663177193596,125.97840477913559,VET
2,256.02121201965963,258.0004025801166,VET
3,302.9333773488552,301.3207975514286,SAI
4,304.32032064610524,302.9897518380513,SAI
5,311.98358149274725,311.03518979582867,SAI
6,314.813742315873,314.9662674377778,VET
7,313.2000609188571,315.60220780524554,VET
8,183.76253713314057,182.8812825429223,SAI
9,181.80923539374092,184.74361156875526,VET
10,170.8400510220358,172.97833196414334,VET
11,169.10111403067964,169.8067849196948,VET
12,251.3621576626163,251.37677391598038,VET
13,268.74703942066003,266.3480507810131,SAI
14,278.2239722446828,276.10504202104994,SAI
15,267.6202225879365,262.58072063782316,SAI
16,166.9711050331108,165.08631618345305,SAI
17,175.6649411918992,168.69311379102177,SAI
18,231.05504225613444,232.5178990156487,VET
19,279.7562289377289,276.4559985330403,SAI
20,301.1306130831911,298.28183303314233,SAI
21,307.0580116752726,307.26373241359204,VET
22,305.2421330901745,306.16165361535724,VET
23,249.55927458990053,227.55488942208495,SAI
24,108.67083958450594,110.38359219646307,VET
25,222.0999936,,SAI
