Minisector,VER,ALB,Fastest
0,278.2790423660664,274.54157443500543,VER
1,221.91778517333333,224.73142248253967,ALB
2,113.44694477915814,113.81660531097151,ALB
3,194.35726416727272,195.04874457245853,ALB
4,172.38755658149762,176.73219806190477,ALB
5,219.01546994917646,222.06060606060603,ALB
6,279.78906382714246,271.7523812010025,VER
7,293.38875008,287.57747495137846,VER
8,169.42450914883713,176.422811109063,ALB
9,128.42619627805584,127.0181641095076,VER
10,138.669018666605,134.57151787048562,VER
11,197.611858556346,198.46071439238094,ALB
12,206.07679225171108,216.41543359348952,ALB
13,134.05635450666665,130.33791716829435,VER
14,142.03487262341068,150.52309012299168,ALB
15,134.58306848276726,127.16684171749696,VER
16,251.705159415873,249.5471654893424,VER
17,139.20710101961117,140.9684382547555,ALB
18,204.09246821458828,204.39750080000002,ALB
19,133.5251295888416,134.86286942000083,ALB
20,145.56576677690904,153.0616734520065,ALB
21,127.92194075493028,126.77594385785144,VER
22,154.26949240133226,149.04854724033615,VER
23,220.23085322539683,219.34459169490106,VER
24,238.8367801269841,233.76187504,VER
25,,261.15,ALB
