Minisector,NOR,HAD,Fastest
0,298.6936787753873,297.32256054416524,NOR
1,308.51352498966133,306.26953134285714,NOR
2,313.2302528485498,310.73227452239587,NOR
3,296.54791005291,301.1030388187654,HAD
4,163.29680094406132,163.5494308393701,HAD
5,209.09905325033586,213.05900730808082,HAD
6,239.53935890241547,239.26580825396127,NOR
7,269.91048585200764,268.9391167435294,NOR
8,245.1442851986532,245.99729019407405,HAD
9,167.0948871272882,159.12624389994056,NOR
10,221.81239883048667,217.16055571418872,NOR
11,131.02376758238285,122.62669946586088,NOR
12,232.74337811875776,224.59231897484042,NOR
13,179.51526773289436,160.5326435992521,NOR
14,219.1964434873957,225.0908983782083,HAD
15,247.3196691595985,240.5060621822574,NOR
16,268.27823229714284,268.7794622256854,HAD
17,290.836505821645,290.2527743991534,NOR
18,171.48972281678002,137.2650514839235,NOR
19,172.33888592868422,163.31812531196354,NOR
20,144.6533694244699,143.5230127563107,NOR
21,236.83142222111277,230.45586590493113,NOR
22,269.12565602680775,260.24954550730496,NOR
23,258.1288512795403,251.58349879950487,NOR
24,282.92473911649836,279.59712644898514,NOR
