Minisector,PER,GAS,Fastest
0,292.87877951238096,291.30426041890314,PER
1,303.21833919655245,300.1558634145081,PER
2,306.35379073283207,304.80674336842105,PER
3,301.1798254035088,292.1818908452563,PER
4,172.6620399388529,167.53930374692234,PER
5,204.71963344780576,208.0185425390416,GAS
6,227.6174047025845,228.96977320266092,GAS
7,263.5388252121212,263.09167061756904,PER
8,262.7930960429799,256.857971942029,PER
9,161.11457683620884,159.05544003215994,PER
10,228.81482235581993,225.81137943790984,PER
11,129.11472945736432,135.76020625649576,GAS
12,207.30920904156062,219.3512813128205,GAS
13,186.59347223576944,188.34289173109786,GAS
14,216.4248960066364,214.81050120362903,PER
15,237.0309774031746,235.54266059350425,PER
16,259.43868672126297,252.9010484233782,PER
17,285.1873016888889,277.2111676371882,PER
18,122.82835715526305,133.08850780328015,GAS
19,157.36477390898185,158.20823286475542,GAS
20,147.13935784356363,142.0715620457143,PER
21,156.98719512991474,163.23775917329797,GAS
22,115.8563365524394,115.54231824188355,PER
23,229.90340413709185,222.6153803641905,PER
24,272.4539798201592,267.4607541679713,PER
25,284.5625002666667,282.41388871111116,PER
