Minisector,NOR,SAI,Fastest
0,264.27644135970695,263.1427872,NOR
1,244.18858175712307,248.65540424691358,SAI
2,167.60291205072036,169.20486998696742,SAI
3,251.13435095580863,247.3744434093827,NOR
4,269.93315209275363,273.34916612266665,SAI
5,193.8407328432719,198.17621330935253,SAI
6,120.29632566102735,125.3044646463003,SAI
7,161.24782085610232,159.3104503301927,NOR
8,261.24303562274224,256.34986779674364,NOR
9,178.6996564148148,188.36760640915332,SAI
10,185.00999713304225,183.03571569963648,NOR
11,260.65981506212376,252.76518546229858,NOR
12,259.76689546238464,244.23311288888888,NOR
13,269.8463894193013,261.3858474493712,NOR
14,288.28420705335884,282.80935151839805,NOR
15,280.0421909333333,293.49275501449273,SAI
16,145.8485474614646,152.83498736161837,SAI
17,241.75308211805094,234.63532614720282,NOR
18,283.79900866711796,282.4401408294667,NOR
19,297.0922050684807,296.04642834285715,NOR
20,301.89153195897563,300.05188810037515,NOR
21,305.9963938330438,305.2087866993197,NOR
22,152.30435814374152,170.87431573415114,SAI
23,91.48471014605656,93.16470506983141,SAI
24,179.43359220279456,168.30026143057964,NOR
25,244.9166656,241.6374992,NOR
