Minisector,HAM,NOR,Fastest
0,291.9083333818182,300.57807968198756,NOR
1,292.90905794782606,302.2496212363636,NOR
2,267.4339973973333,249.74532489288532,HAM
3,161.92291939206302,151.89964844391824,HAM
4,180.89919215140708,162.50644966297696,HAM
5,216.8813874350516,211.86931667342466,HAM
6,245.9981954551547,224.98928107583464,HAM
7,219.72554497393807,211.42711415896554,HAM
8,268.9870493626389,261.92674686914904,HAM
9,266.4811366854543,258.62425599263656,HAM
10,275.6572549714286,274.99795839752306,HAM
11,276.950901897898,273.46362692180884,HAM
12,273.1481189241905,273.9041668888889,NOR
13,273.95145020289857,260.44449852342854,HAM
14,190.47799165513368,175.13458495496246,HAM
15,236.11260868727933,241.06019842684145,NOR
16,218.35712337987314,209.2672791291528,HAM
17,172.23545729400155,169.36460920521182,HAM
18,255.68919845925925,255.65525916520386,HAM
19,283.6646035911306,284.9297860256253,NOR
20,264.86583055589347,256.16617730088245,HAM
21,193.23299132281267,187.7527408379246,HAM
22,252.742699643081,254.99060521414424,NOR
23,277.9505066414871,283.29647177573787,NOR
24,289.16371524444446,295.7259056463768,NOR
25,,299.5541664,NOR
