Minisector,HAM,VET,Fastest
0,274.62984549511987,272.66372960575154,HAM
1,301.26111045925927,297.5304823017544,HAM
2,315.3561136769882,310.93041811466054,HAM
3,324.2101647540916,319.75841917355507,HAM
4,328.8859374,324.37968746666667,HAM
5,327.8133186761905,326.41822913333334,HAM
6,224.93686078562274,215.0529625229753,HAM
7,108.54810805818931,106.50830992882456,HAM
8,185.5316497212003,182.92467715274347,HAM
9,262.2032444937445,263.3488685539983,VET
10,290.44462936533085,292.42879408856777,VET
11,173.46611223333332,172.08243104686943,HAM
12,98.91118687392373,97.04825016136697,HAM
13,117.29567166352726,116.23614725329878,HAM
14,223.7891314716856,224.81534727381995,VET
15,192.52342198510925,189.24335634870073,HAM
16,230.33949273043478,225.4341601572012,HAM
17,189.04958791858022,181.8325569287435,HAM
18,235.94546954202897,241.17069739220779,VET
19,279.1670525474499,281.7345527829018,VET
20,254.27287813459762,254.31414200001194,VET
21,149.51012021520725,146.97490278327763,HAM
22,97.26419188019199,96.16832229897187,HAM
23,127.57875868991447,124.47478605373297,HAM
24,227.41025190994242,229.05491078095238,VET
25,258.26666666666665,,HAM
