Minisector,SAI,RUS,Fastest
0,279.66146274947107,272.67529010766486,SAI
1,119.11515848864153,126.14737439396015,RUS
2,159.75274521909702,154.24439088696144,SAI
3,207.66082066010054,213.75161158767506,RUS
4,156.13878479046798,161.76925205918175,RUS
5,243.83003249523813,236.38365276208916,SAI
6,206.70389105666817,218.06458717389413,RUS
7,132.8452332219901,133.58999688338832,RUS
8,230.4280302914732,227.43218473052613,SAI
9,275.6118601766824,267.92465180921886,SAI
10,286.10006868705887,274.15004004571426,SAI
11,145.1332673470283,148.264412593981,RUS
12,214.09161116460274,213.56366081228683,SAI
13,265.8669907966387,262.07068249200046,SAI
14,261.14409411241115,257.9529176685714,SAI
15,101.34007903021013,102.62268626069827,RUS
16,217.0139142587942,211.4239209820326,SAI
17,272.08131208126986,261.94983320124277,SAI
18,299.3673211387013,286.3857796948541,SAI
19,315.97168969034016,296.5726975625131,SAI
20,323.61358827554307,303.6998644678755,SAI
21,273.0693764737471,293.59465185027415,RUS
22,148.05263083056929,149.61080075278684,RUS
23,234.8862974570001,223.78196965022929,SAI
24,281.6497174841751,268.17963550879796,SAI
25,,281.1041667555555,RUS
