Minisector,KVY,GRO,Fastest
0,270.5763802486683,259.3791192043248,KVY
1,130.5518698025251,129.78847407746164,KVY
2,198.44529013156335,198.53270439880833,GRO
3,246.2715849681681,245.2774095797258,KVY
4,261.31089986845035,257.0794256201351,KVY
5,178.92904218350353,176.09171914029716,KVY
6,146.5190663398858,147.54675842838887,GRO
7,182.62852812571225,178.36278195488723,KVY
8,101.6960107736629,99.28945710174101,KVY
9,72.67782985544258,73.28151383085276,GRO
10,92.40005379219099,91.02930960301013,KVY
11,176.88492726394162,173.29581474413703,KVY
12,243.34025560718402,242.1113830606059,KVY
13,268.58829592296667,266.2503565367233,KVY
14,280.23575731569036,277.49717893413776,KVY
15,115.5968655403011,119.21091885754743,GRO
16,145.59685023896,136.5546997238765,KVY
17,187.8021130199135,194.5886991696712,GRO
18,195.73895801881693,193.16069327842536,KVY
19,212.12366343451978,214.85289125143862,GRO
20,133.06596047355498,136.43795578074824,GRO
21,109.53627159152451,126.18793727531254,GRO
22,92.32591002469084,83.87563920268134,KVY
23,192.77724728523162,187.04275574117193,KVY
24,249.42976904914127,245.15841450351303,KVY
25,,262.4937504,GRO
