Minisector,VET,PER,Fastest
0,301.5726013252525,287.6875344545302,VET
1,323.3596716199392,306.3845240888889,VET
2,312.97687461333334,303.15765254240364,VET
3,184.53722251194532,186.90636536547618,PER
4,226.97323325856468,225.870900457948,VET
5,206.82774486720604,216.05172410114943,PER
6,194.6950741106305,197.56155265991313,PER
7,221.7273918855254,218.29511547586208,VET
8,262.8571915434017,259.0800927407408,VET
9,262.04816219296066,262.25902741587305,PER
10,181.50474624966085,180.24720608542134,VET
11,246.60083389561905,244.7441169934066,VET
12,123.46613476132276,119.17103950456773,VET
13,233.62747209114568,232.8805873113553,VET
14,277.0984853887446,275.35351495749035,VET
15,289.9140365316137,285.24233377423366,VET
16,213.01719339118168,201.99959306026835,VET
17,192.9636144520447,193.19110007010457,PER
18,275.07233665346314,271.55106322489956,VET
19,299.2610417066667,296.29432920266896,VET
20,311.7274438736842,308.2259721955555,VET
21,312.99073967792754,308.85023809523807,VET
22,268.124455591342,248.46855012538947,VET
23,119.78190631153855,122.99483793173366,PER
24,246.3956981218222,250.2536460888889,PER
