Minisector,BOT,MAG,Fastest
0,287.22437183673924,273.0316488378117,BOT
1,311.59523784873954,289.1298406117647,BOT
2,312.4605376627451,292.5232462917293,BOT
3,131.78668383420757,128.09007512957027,BOT
4,212.01502949600464,202.0323403005291,BOT
5,263.97618097513487,256.63705016531844,BOT
6,146.38990947030427,143.55648487117796,BOT
7,215.69516689066666,209.27116738648118,BOT
8,264.9554285139978,261.3781742730159,BOT
9,282.50621014984546,279.88167100380986,BOT
10,230.56141328695654,233.76016027614295,MAG
11,190.09975243705304,182.2666881996716,BOT
12,207.03164050477494,194.16292212891764,BOT
13,148.72524297020084,145.23239886893688,BOT
14,189.34941618233793,182.29653155730708,BOT
15,176.0784545403689,166.40015947956627,BOT
16,229.7678822095238,220.56094681573498,BOT
17,249.31199616853198,237.42398037991288,BOT
18,248.91560651131832,237.86983033062793,BOT
19,236.9733496607018,234.73442175072464,BOT
20,150.97253696426532,142.67994994945062,BOT
21,135.04886211113143,135.4641557265395,MAG
22,183.43536489195404,172.52012634285714,BOT
23,160.31096458499977,152.1569523992063,BOT
24,236.43003386666666,231.6282600811594,BOT
25,,261.1562496,MAG
