Minisector,PER,VET,Fastest
0,283.4921674479214,280.84761519795467,PER
1,147.6112854934123,156.3305193821158,VET
2,146.8052909965715,123.62701867880358,PER
3,223.58373688474202,230.56975482147118,VET
4,283.71843692022264,284.6470538246906,VET
5,287.86921784470275,269.82277424944067,PER
6,142.22419462419552,139.94155724496264,PER
7,145.9897813969263,143.80714723010095,PER
8,142.87998976372924,128.04303406424776,PER
9,192.60207945231934,187.66255299644334,PER
10,131.82279371833656,116.40864748603214,PER
11,122.5261919797154,108.85033988548396,PER
12,161.47830278744289,187.32649420493019,VET
13,266.13372042045586,270.86295572772053,VET
14,290.9722796143251,281.20392481785535,PER
15,152.68803513729424,136.18467776337948,PER
16,204.13276553642908,177.7006875742897,PER
17,174.53605642820858,191.10161451098094,VET
18,271.09236497212584,275.9682985691657,VET
19,294.1481150793651,295.7554751689907,VET
20,309.9063708043625,310.3046429520936,VET
21,316.92801599061244,318.0502484603509,VET
22,320.55095030643275,320.3006802938776,PER
23,323.19760418666664,322.6860978996826,PER
24,320.64180672268907,317.9925781845315,PER
25,316.02999936,,PER
