Minisector,NOR,VET,Fastest
0,242.609386764873,237.36518489244176,NOR
1,277.0490999791181,269.5606320022586,NOR
2,174.09932590128827,175.74187797570173,VET
3,150.02891840826555,147.4529530571401,NOR
4,255.64410839416934,256.00623098860603,VET
5,268.2676363058504,261.69020046903415,NOR
6,218.1835808150855,213.9197857519746,NOR
7,195.7958029261388,192.41931575695307,NOR
8,151.15849214596813,152.9256668077497,VET
9,204.88780482473905,196.80705927181953,NOR
10,269.16019873616165,266.4847419102821,NOR
11,119.38519186799081,128.62659913536456,VET
12,196.13349399860886,194.3065631782609,NOR
13,272.92930489396826,261.81745034739225,NOR
14,306.3243132875577,283.8052527344987,NOR
15,320.6083390948571,295.04636243386244,NOR
16,262.86324000759686,279.02789062984897,VET
17,120.23659248418087,131.00422043905766,VET
18,124.89753328488361,129.06249272144143,VET
19,121.89296046089234,120.99406713905692,NOR
20,224.75094559204834,213.94868143479235,NOR
21,255.14285483209235,249.20082796365918,NOR
22,232.5345468619142,248.75885827246375,VET
23,210.5684233314093,207.8262124690171,NOR
24,130.9554369877316,131.50793911602977,VET
25,,204.3229390760943,VET
