Minisector,LEC,RAI,Fastest
0,293.46815446580086,300.3310370394558,RAI
1,304.45395824,319.9392428980514,RAI
2,310.7016273897455,328.8837541839474,RAI
3,311.02623009211095,332.6092106105263,RAI
4,199.73722853382068,194.1512159769809,LEC
5,225.0482318957585,222.0858384826602,LEC
6,267.58667549944727,270.8328476682017,RAI
7,269.84130527536234,276.8304847132811,RAI
8,195.22569157603687,189.6569181854331,LEC
9,157.06041738269312,156.90887399846986,LEC
10,186.26034029636548,189.57720622089224,RAI
11,259.16269800686007,262.6821165449275,RAI
12,251.2094295777867,253.70763788198568,RAI
13,234.82851144684952,225.56145077796515,LEC
14,269.2630119694725,273.75582279179685,RAI
15,176.4360383282361,177.10382453008867,RAI
16,221.59819340915237,222.78637714266588,RAI
17,244.6217009345175,245.46998171493158,RAI
18,140.877942324226,136.62344647190892,LEC
19,242.81956120229592,242.50141864322345,LEC
20,278.205668738322,283.3174532263588,RAI
21,259.0586576952381,250.32404475711198,LEC
22,147.4065088102733,144.11869668519194,LEC
23,215.91218975310628,210.11041568435374,LEC
24,272.6280300121212,273.1742772825737,RAI
