Minisector,SAI,HAM,Fastest
0,292.58690556341446,291.10609580649196,SAI
1,304.38941662400003,305.9098957714286,HAM
2,309.2961768451019,311.1852525252525,HAM
3,313.5431830892386,310.62517371555555,SAI
4,200.61832324246546,189.47501747916772,SAI
5,211.53151296653593,214.08411698082537,HAM
6,268.18401764,267.89334251539395,SAI
7,274.0803927754377,268.6646913095032,SAI
8,181.90301948064626,185.51064244515763,HAM
9,143.01535535350862,140.1061788909591,SAI
10,172.48664880326575,176.45814823761904,HAM
11,258.04304631516527,258.4979997608551,HAM
12,250.92784053333332,250.68463800248446,SAI
13,225.3344255770561,229.13450207259748,HAM
14,274.2382302780952,267.6093518222222,SAI
15,160.99471224532823,168.38819231130117,HAM
16,220.1038624993789,221.78711080675555,HAM
17,242.00979592420703,237.09607289202518,SAI
18,133.59472959996643,131.06660556277058,SAI
19,241.52479850733212,238.02138480754036,SAI
20,282.20850185148305,278.7581595911111,SAI
21,256.8791692610096,243.4560140908666,SAI
22,135.8993157897807,137.21214793695236,HAM
23,206.43243380173382,207.63508165196342,HAM
24,272.5644872960111,268.77851198808656,SAI
