Minisector,VER,MAG,Fastest
0,288.0461948355019,284.5655363773465,VER
1,291.92128662,291.7161277,VER
2,173.01803707044368,152.43607113605444,VER
3,221.4721544909804,219.66217645072683,VER
4,270.095889158394,268.52892145080006,VER
5,292.67130199997166,288.8859049698178,VER
6,302.9562242742857,294.9368444708571,VER
7,180.95261278056884,175.85743187611004,VER
8,124.3202697691003,123.75632573839277,VER
9,251.60553722893317,243.42691677482506,VER
10,293.57863856839987,282.00435644342855,VER
11,307.4732043342857,289.6524709301961,VER
12,148.57492820924256,146.44711026705667,VER
13,180.58897741721262,187.34170235511735,MAG
14,255.95735056427134,252.45327572948423,VER
15,209.0753066569697,202.96906953064934,VER
16,216.17645328974197,209.4906391128161,VER
17,219.30134376699897,206.73999384623437,VER
18,249.6107063573333,240.88733811478687,VER
19,278.4614032673103,271.4410319532071,VER
20,295.7082138379832,290.3929126142857,VER
21,270.1922222114486,263.53246249499324,VER
22,229.0617370926089,223.1255775192567,VER
23,208.76507662268398,189.67569843474124,VER
24,263.67193472329143,255.17759412629346,VER
25,280.1625,274.76999936,VER
