Minisector,STR,BOT,Fastest
0,318.3669022898245,324.40905905573317,BOT
1,328.32298952469404,334.0350906702948,BOT
2,324.63456438787875,338.95286260819046,BOT
3,199.12405117555446,189.13566986285713,STR
4,121.29095685790361,121.65344820229885,BOT
5,267.1142180871739,268.0515172228278,BOT
6,300.99427062222225,306.5479166666667,BOT
7,315.77471538881986,322.4734848969697,BOT
8,291.37593367767164,279.8103740702828,STR
9,146.19877973861597,141.04928897326067,STR
10,225.63938513744102,228.7517674047619,BOT
11,219.7262724798248,213.46719400890808,STR
12,200.9000393270321,197.655442445541,STR
13,269.2721171785724,270.79444448395066,BOT
14,304.87269694409935,311.98754140183223,BOT
15,316.56845664894996,330.29402710273337,BOT
16,267.593362962963,265.27990269659756,STR
17,205.5177727678754,197.73972273552002,STR
18,272.60936490421125,270.6384111799137,STR
19,305.39148507826087,308.45316117321215,BOT
20,319.67686137596644,325.5151515151515,BOT
21,310.90572952315864,316.360981068739,BOT
22,210.42164123196903,207.51318684007634,STR
23,262.9471723809524,266.8431756253873,BOT
24,301.5249841498183,307.0584324698413,BOT
