Minisector,BOT,LEC,Fastest
0,297.42065977777776,319.64185604848484,LEC
1,299.57904550982323,320.0890578961511,LEC
2,260.8453045253068,268.09722222222223,LEC
3,155.81127886611688,149.5691997416209,BOT
4,176.00123826730922,163.43579046153846,BOT
5,217.29885057471265,213.4516469231746,BOT
6,239.30940094454783,229.7974521773553,BOT
7,217.20607553366176,209.25662696634922,BOT
8,268.20561445437926,259.4133466393739,BOT
9,264.78623188405794,253.55462452161174,BOT
10,274.1897671620264,267.13387545467793,BOT
11,278.5908472149417,273.82343743333337,BOT
12,275.3190379959962,271.85805799853955,BOT
13,265.3284503735921,268.68600941877446,LEC
14,181.93648679604843,178.4456986257295,BOT
15,238.9346711922035,233.36579358363875,BOT
16,210.89694410666667,211.35923460461254,LEC
17,175.01756731512694,163.1114469274725,BOT
18,257.91289121111714,253.24998291916845,BOT
19,284.1012803029411,283.5508928207792,BOT
20,260.2932536126984,247.29000083965255,BOT
21,189.47614945396356,180.1780987159664,BOT
22,255.50686835954676,253.59158404932808,BOT
23,282.1098275558046,283.16066014199134,LEC
24,293.77155798260867,297.5,LEC
25,,302.92083413333336,LEC
