Minisector,PER,GAS,Fastest
0,306.91494789666666,308.6804200599066,GAS
1,243.68937460690427,214.67347367800454,PER
2,127.37278539247166,129.93021367714874,GAS
3,215.6020430442612,211.58593448513457,PER
4,259.7549222518822,261.3411242659132,GAS
5,291.4814072927731,290.23647920522876,PER
6,311.78066309224494,304.2446888849817,PER
7,269.4442013917983,273.542456550005,GAS
8,167.84917844848482,163.60271871788362,PER
9,239.84488911221706,232.4522770443197,PER
10,267.04610419208024,270.7955493872458,GAS
11,258.4062220287834,256.04941526514284,PER
12,203.17070102534214,196.20416023777292,PER
13,122.85652168089966,128.08030018207572,GAS
14,123.96167388767053,115.22411057234822,PER
15,161.92947776389633,168.35298305466884,GAS
16,119.4324664391619,120.44434721695589,GAS
17,224.72481230973085,219.74903548744743,PER
18,158.21220611834394,181.18965131771597,GAS
19,153.72603798797886,143.10554800780767,PER
20,241.6017477682055,239.74750658567348,PER
21,273.0812134081871,277.1775892292833,GAS
22,292.6138348487089,299.3892004012698,GAS
23,310.43825375492065,313.7098852276364,GAS
24,320.6581885308552,319.72574456593253,PER
25,324.0,323.26115344410255,PER
