Minisector,TSU,PIA,Fastest
0,307.73514290962964,252.34279182467336,TSU
1,182.0523303774638,122.03792542103005,TSU
2,113.89221935117502,133.60435568285524,PIA
3,202.33837284749313,221.58710340865954,PIA
4,257.3370161149783,269.14020971636364,PIA
5,285.3814140928427,292.2144303894619,PIA
6,298.97192746638416,303.03167131831935,PIA
7,228.60844720734198,169.86830081409295,TSU
8,146.0070793047453,163.54706283217126,PIA
9,230.97204285778537,245.90852875571434,PIA
10,269.58102457102757,277.0647078450794,PIA
11,222.4534770991023,201.0961784333563,TSU
12,174.3669419675118,174.7910184829159,PIA
13,106.46772835290469,91.74774501021813,TSU
14,108.60365504665735,118.69207763423871,PIA
15,133.1234501193925,107.81738411571006,TSU
16,115.28214700254544,159.1805186534149,PIA
17,202.25587498259642,218.3702441266918,PIA
18,160.04442343160585,129.1633106643601,TSU
19,145.60984577610873,193.89016582517223,PIA
20,239.14316779891544,258.1650883599423,PIA
21,273.3490882207511,281.2001513792036,PIA
22,291.49785248085703,299.10832032544215,PIA
23,299.93010428663104,306.2298039799134,PIA
24,305.1897058635294,310.5224115555556,PIA
