Minisector,LEC,HAM,Fastest
0,291.6332176150427,299.1199349989326,HAM
1,161.3407477908598,157.76794806908887,LEC
2,174.74281137824997,168.5277662607423,LEC
3,256.54951360801056,254.80479386196592,LEC
4,289.18492927343794,291.36668866680986,HAM
5,261.502979835393,254.77010897015873,LEC
6,227.6869787860202,223.5875817027417,LEC
7,150.75574525918273,147.48410419255208,LEC
8,226.17927692883785,227.87134498489553,HAM
9,279.4448864982857,281.85694824704035,HAM
10,297.86030287515155,303.57490306533646,HAM
11,307.58107983310657,319.57250290559904,HAM
12,311.5122180330827,329.33768507091736,HAM
13,310.1687919146667,326.41113746269036,HAM
14,127.16744347774379,120.73291516869838,LEC
15,119.45194021976566,112.25015768685132,LEC
16,104.41928054083101,105.26784583242443,HAM
17,237.6079764978882,243.31665454015868,HAM
18,286.219132397361,290.1596049721637,HAM
19,307.697321264,315.22945551811773,HAM
20,318.3492186826667,330.7956947405752,HAM
21,319.54755003109,332.3314177163636,HAM
22,125.61809679435255,124.77621192207748,LEC
23,203.53498201379443,211.17146813744296,HAM
24,269.58400843638606,272.6517445018182,HAM
25,283.3531248,,LEC
