Minisector,VET,RAI,Fastest
0,293.13266808291314,288.7345348011093,VET
1,291.089841,291.2071247091154,RAI
2,160.7366017311014,157.29858570489893,VET
3,228.8946813422748,227.26626804789015,VET
4,279.0420357873408,273.42578832673956,VET
5,298.0433857920888,293.05864411683797,VET
6,300.2122220901587,296.58285393597214,VET
7,150.16491350677214,147.51417339116972,VET
8,149.23884907119552,144.75164284628806,VET
9,256.9792532232225,251.79929791611687,VET
10,289.5372502664214,283.82432324571346,VET
11,296.8205600824849,293.7413262617369,VET
12,143.36987468861622,144.7455718689406,RAI
13,210.85597954782608,198.3345427330689,VET
14,263.13362121139954,256.9202833707628,VET
15,201.4363040277124,192.32716968088084,VET
16,230.825080408055,218.37674138258356,VET
17,213.3103786843018,206.15950607403312,VET
18,250.39273411672275,243.91865354056617,VET
19,279.08752382546066,275.1846810066361,VET
20,294.70278362592757,291.036890894404,VET
21,257.8117448291518,252.42548018038758,VET
22,224.77196682406816,222.02543806533808,VET
23,215.93297898963382,203.30339540632517,VET
24,270.98669404547314,261.86207637934064,VET
25,285.97014864543013,,VET
