Minisector,HAM,LEC,Fastest
0,309.3742787383441,290.54726708917747,HAM
1,322.8773496781955,301.04701521429075,HAM
2,326.0514706196078,305.3566144078847,HAM
3,322.9682010385965,306.5596501333333,HAM
4,176.17108499393942,176.53796796466312,LEC
5,209.29806727392395,214.5553344733686,LEC
6,237.41750024533331,241.70937484444445,LEC
7,265.0208872791279,265.40290579392445,LEC
8,255.90760728115944,258.1266529755927,LEC
9,164.5200419686927,168.31070316037753,LEC
10,228.25457854945054,232.35315130108975,LEC
11,132.29408760880244,135.9388641409087,LEC
12,227.26774336703298,229.78419338651614,LEC
13,186.42602395835146,195.4504343162762,LEC
14,221.10256496410256,220.44014573012217,HAM
15,245.9469976880657,251.46908316723844,LEC
16,263.0340912969697,264.30203094320115,LEC
17,281.8906746920635,285.693987992381,LEC
18,161.27394680685958,162.70050136175664,LEC
19,174.5923122039241,176.84238278512714,LEC
20,147.51145856,146.63605015677655,HAM
21,167.50825573751732,170.2728612529972,LEC
22,115.3680239000381,114.66191805257415,HAM
23,221.65355022222224,223.36792238165785,LEC
24,270.83885524342236,272.1943829397062,LEC
