Minisector,SAI,RUS,Fastest
0,268.6526947984762,272.014822944903,RUS
1,290.82692717619045,289.03812139384416,SAI
2,295.5599577877458,294.5694821866667,SAI
3,128.91130173422678,126.39285016594395,SAI
4,194.74627166344683,196.60840051870755,RUS
5,250.5345848362812,254.99527361539714,RUS
6,134.2084094066588,141.4964513476679,RUS
7,206.75926129987886,201.4711015908922,SAI
8,262.28294289457,257.5935510103258,SAI
9,281.50759261037035,279.20584096349205,SAI
10,231.8069170920635,239.93978825034014,RUS
11,175.0393727441002,178.42259416550263,RUS
12,195.16263228407684,192.80438720412988,SAI
13,149.60033849884735,148.83476707479502,SAI
14,172.1422978238981,179.77843533776206,RUS
15,159.35624592491163,166.95254946679805,RUS
16,222.39364199385884,219.8807835813671,SAI
17,235.07832191673472,240.24057847177946,RUS
18,239.05995588045022,241.43108675221694,RUS
19,241.04196596144754,245.21757939515456,RUS
20,147.37877425348614,149.05023858399053,RUS
21,128.3450478830307,130.54801569349658,RUS
22,169.1403960115671,166.2770894653968,SAI
23,150.23279605051454,155.07990084924754,RUS
24,226.8672013380899,225.3592896016372,SAI
25,,254.0250016,RUS
