Minisector,KVY,HAM,Fastest
0,277.6658231872129,281.21194968426755,HAM
1,254.9977899115932,237.0558426376534,KVY
2,268.5412923815416,264.00688666929295,KVY
3,285.9301496368913,283.1936427216981,KVY
4,125.46306586910717,132.6794031506287,HAM
5,207.86569270740492,206.072412234996,KVY
6,264.8287037037037,264.8644842920635,HAM
7,285.5638945823694,288.7008935212031,HAM
8,295.4770832666667,299.7448007219108,HAM
9,300.10778052976684,304.6748660182217,HAM
10,287.42930751580116,286.07407455720386,KVY
11,101.0309696894762,101.58043251648996,HAM
12,218.35377570655763,217.07949432092104,KVY
13,265.12625028128804,268.5414766451616,HAM
14,272.951852028442,274.92779866873576,HAM
15,131.03852783124267,135.13453245152596,HAM
16,200.77973074540037,200.16357944887156,KVY
17,253.5202995235048,253.75392588421255,HAM
18,260.18594189955115,258.48633428365355,KVY
19,244.3108382727507,240.16510693929712,KVY
20,150.4163146566008,159.43756720113242,HAM
21,184.6679278525962,187.50847599525824,HAM
22,175.29511307887313,169.0950639327266,KVY
23,192.1613803108795,186.80947586256363,KVY
24,249.07201678294413,247.5238466430382,KVY
25,,272.5833344,HAM
