Minisector,VET,MAG,Fastest
0,265.98218536769076,260.8491961888945,VET
1,135.91671917497592,133.4180975828356,VET
2,264.66343350217363,266.0484542368618,MAG
3,305.1273004746085,304.07299976533335,VET
4,303.70749994666664,300.73009311796017,VET
5,309.7817708,308.24149973333334,VET
6,313.84751158306875,312.57909425178883,VET
7,315.03478265507243,313.4539932,VET
8,213.4068847814672,210.72349718518518,VET
9,201.9285391814672,197.28307118223367,VET
10,190.3242525262014,184.86975504737012,VET
11,164.51781062788112,165.07967175395552,MAG
12,253.94535719619046,253.56609721111116,VET
13,280.07109350174346,285.21085792215996,MAG
14,283.9392857494505,284.070879003663,MAG
15,282.494443784127,282.86570277530865,MAG
16,187.79441368273712,187.25798790080782,VET
17,197.30267045559845,194.96672917519732,VET
18,244.65635755548746,240.90768810772045,VET
19,291.1169287619048,287.1566595950839,VET
20,309.82458573760186,306.66440933333337,VET
21,316.17088000764335,313.98265403871545,VET
22,316.3083580888889,312.630333312,VET
23,271.65444486097437,256.5829733597064,VET
24,117.86588611666667,115.22805322555894,VET
25,230.93333333333334,232.125,MAG
