Minisector,LAW,LIN,Fastest
0,285.03366304839744,286.6610577086734,LIN
1,299.93296402739776,298.07635535792207,LAW
2,280.31443291812326,277.7716888306138,LAW
3,162.14861779929825,172.81781342265634,LIN
4,114.18707103307032,116.63849517535972,LIN
5,240.60669807545864,238.41141148169817,LAW
6,287.40920252554866,284.04359708676327,LAW
7,293.72225545016,289.32007487639805,LAW
8,168.8244516537442,171.118119823666,LIN
9,137.81394304430424,134.21571289391642,LAW
10,251.91457253836373,253.75374130289134,LIN
11,287.54375694506666,289.8607748273292,LIN
12,290.258587001479,289.56778598082917,LAW
13,263.61037196751516,263.8217838578836,LIN
14,281.6186002720999,280.1648645524595,LAW
15,277.5040264751211,270.1584671124402,LAW
16,239.1012343206597,231.01410841737032,LAW
17,213.40469280440513,218.84415150222222,LIN
18,280.35446846687273,280.94553310644886,LIN
19,299.8025509877551,301.4403959210025,LIN
20,298.92092982724637,303.38391116718026,LIN
21,216.6008607595171,218.5438341634675,LIN
22,244.4555457690667,242.9376172551535,LAW
23,128.3220781024906,133.27223867220223,LIN
24,209.51416558314574,216.0992372258544,LIN
