Minisector,SAI,ALO,Fastest
0,310.85074577403503,306.1588236392157,SAI
1,219.50883152306739,225.80956031784805,ALO
2,142.9441728166616,142.44440249718812,SAI
3,220.58544955767195,218.33224774909974,SAI
4,169.85207429866665,158.18145444929496,SAI
5,172.96615046002887,179.78169907809522,ALO
6,250.76338297512459,249.4396305777778,SAI
7,278.16365123555556,278.014374894396,SAI
8,288.1060716816931,286.228715720473,SAI
9,260.3975611629082,246.80292477754386,SAI
10,238.34347853101684,239.71659712287433,ALO
11,243.9640684710686,230.32614883283117,SAI
12,201.42099746489964,201.03284234971431,SAI
13,131.23231544509508,122.97661242707574,SAI
14,134.61697848296296,138.37716608390377,ALO
15,170.77452181281308,176.7304053115822,ALO
16,252.7192892127731,254.74503642433154,ALO
17,253.90418628510213,238.55289444963924,SAI
18,114.34916163062648,112.02620871752306,SAI
19,199.082108158796,196.64064873383063,SAI
20,197.7916962548846,190.89846003983806,SAI
21,237.76516945964588,236.07855886103138,SAI
22,274.88115147089945,270.858561820767,SAI
23,297.3509484781513,296.14268422588236,SAI
24,314.507068400538,314.62772251377777,ALO
25,320.81000064,,SAI
