Minisector,BOT,RIC,Fastest
0,297.6987472935759,301.6426268801308,RIC
1,235.22953968367474,244.2380528,RIC
2,192.52169388979684,195.37325504660197,RIC
3,263.411512962224,267.3120159266314,RIC
4,228.1855638549856,222.9192331863351,BOT
5,114.03215212444061,108.15227565542051,BOT
6,174.3238214423572,168.19257870613492,BOT
7,257.05491127619047,254.51629823054188,BOT
8,287.6936903375238,284.9214976863304,BOT
9,304.2696447923716,297.42353685079365,BOT
10,304.05036243478264,299.82814438489856,BOT
11,240.79475908862295,225.30455756840917,BOT
12,147.51985571726837,141.94823639311522,BOT
13,253.32884947356897,254.92040386206895,RIC
14,290.05270951504036,287.7714480932571,BOT
15,300.371395513983,293.80468733333333,BOT
16,288.30802384457144,281.13974326153846,BOT
17,246.63180155570237,243.53583094857143,BOT
18,174.52276612816382,169.2362374992045,BOT
19,179.36998755668765,180.27262453208698,RIC
20,172.54490567355515,170.81823157333332,BOT
21,236.02773238436097,240.9476455040157,RIC
22,121.06097097193575,119.07208089730203,BOT
23,201.88948392880124,196.6107034202404,BOT
24,281.8097119348741,281.13384122469137,BOT
25,297.5916650666667,,BOT
