Minisector,SAI,LEC,Fastest
0,295.1427814808768,281.582232125673,SAI
1,319.68350222370856,297.7070296562358,SAI
2,311.9561180124224,301.0219513004329,SAI
3,182.52321266243746,176.24997447521164,SAI
4,219.09971126233768,219.85141729229971,LEC
5,207.27468899263738,205.46567162310185,SAI
6,181.5290384006173,179.03397619238578,SAI
7,209.307355575459,206.34858411878787,SAI
8,260.24458513846594,255.12698596513766,SAI
9,265.94569113756614,263.4368385642504,SAI
10,166.42375336950664,167.79613584272604,LEC
11,234.60355406995205,236.5025963516954,LEC
12,119.98650291237519,114.28595172785599,SAI
13,223.98910262185356,228.37061813533896,LEC
14,277.24446430056,278.621218311561,LEC
15,293.5008383669841,294.789717690985,LEC
16,219.52435010831036,220.01636934229438,LEC
17,188.31298268698413,184.50933917692598,SAI
18,265.14980911260994,266.4311011193993,LEC
19,290.9215344084656,292.61452514110493,LEC
20,299.80314982389507,302.0717755366224,LEC
21,300.44406635693406,303.6929202090582,LEC
22,282.6569635667136,278.8619416829794,SAI
23,115.7795946987663,116.26174223214525,LEC
24,234.7998277083184,239.01263514928627,LEC
