Minisector,RUS,ALO,Fastest
0,303.8335151542857,291.9605502650044,RUS
1,316.77754913114285,304.7357984355556,RUS
2,321.4891433533336,308.345553210084,RUS
3,186.709401734428,182.88758912053717,RUS
4,206.1893562176086,205.7635296332395,RUS
5,202.48684332416155,199.5624218224859,RUS
6,258.9922966384689,264.6043624579827,ALO
7,253.5184609886484,252.5824441569706,RUS
8,201.94164266710453,200.59981003004015,RUS
9,205.80138885079364,204.9560616564958,RUS
10,145.10504222558558,139.60801861492143,RUS
11,201.78599724263051,204.11813819157672,ALO
12,184.1574851504303,173.05102921526716,RUS
13,245.01204832741703,246.66310690610794,ALO
14,176.88658893930796,167.54747643295624,RUS
15,229.19492844761905,235.62753041151805,ALO
16,269.5198394964858,276.13792583896105,ALO
17,272.05317233939394,272.0544514199586,ALO
18,261.16995984839537,262.8775948153535,ALO
19,247.24563761433933,246.22192939835517,RUS
20,249.78977272727272,254.71627045969942,ALO
21,252.37188528139555,258.60192177278685,ALO
22,218.6081945342382,212.28558375939613,RUS
23,199.464049357817,197.45887144855348,RUS
24,265.27017620070075,271.44190434285713,ALO
