Minisector,LAW,BOR,Fastest
0,285.03366304839744,282.83424533074975,LAW
1,299.93296402739776,301.9173807475132,BOR
2,280.31443291812326,280.1714120968152,LAW
3,162.14861779929825,158.19100329860893,LAW
4,114.18707103307032,111.7039969239339,LAW
5,240.60669807545864,241.9301784345116,BOR
6,287.40920252554866,284.2374809094482,LAW
7,293.72225545016,287.3743240913131,LAW
8,168.8244516537442,168.90889971221222,BOR
9,137.81394304430424,137.08262227122253,LAW
10,251.91457253836373,253.35410553481483,BOR
11,287.54375694506666,293.35838926462,BOR
12,290.258587001479,294.7027063343377,BOR
13,263.61037196751516,265.951081578377,BOR
14,281.6186002720999,283.473106878365,BOR
15,277.5040264751211,278.88153918787503,BOR
16,239.1012343206597,234.8632604430393,LAW
17,213.40469280440513,219.0456779154411,BOR
18,280.35446846687273,281.56725174222225,BOR
19,299.8025509877551,307.275318490255,BOR
20,298.92092982724637,306.82641438650217,BOR
21,216.6008607595171,218.01079739563747,BOR
22,244.4555457690667,234.05478675352117,LAW
23,128.3220781024906,130.4845931089724,BOR
24,209.51416558314574,207.05275835822758,LAW
