Minisector,HAM,ALB,Fastest
0,291.9083333818182,323.4057957533835,ALB
1,292.90905794782606,330.854414340457,ALB
2,267.4339973973333,277.67045454545456,ALB
3,161.92291939206302,161.14043187541208,HAM
4,180.89919215140708,165.7093842334517,HAM
5,216.8813874350516,215.1506944,HAM
6,245.9981954551547,229.2733762569125,HAM
7,219.72554497393807,213.90555555555557,HAM
8,268.9870493626389,262.4442746243912,HAM
9,266.4811366854543,257.03312629399585,HAM
10,275.6572549714286,273.19306418219463,HAM
11,276.950901897898,271.40567758505813,HAM
12,273.1481189241905,263.01475694444446,HAM
13,273.95145020289857,263.2850211059791,HAM
14,190.47799165513368,175.7357142857143,HAM
15,236.11260868727933,235.03138582105828,HAM
16,218.35712337987314,212.7096088435374,HAM
17,172.23545729400155,175.53347815701414,ALB
18,255.68919845925925,256.5833333333333,ALB
19,283.6646035911306,284.9466383921696,ALB
20,264.86583055589347,255.6052380952381,HAM
21,193.23299132281267,188.30625528583292,HAM
22,252.742699643081,254.5388198757764,ALB
23,277.9505066414871,282.9666030733904,ALB
24,289.16371524444446,295.62698412698415,ALB
25,,301.0,ALB
