Minisector,RAI,HUL,Fastest
0,279.29682585396824,279.298248012403,HUL
1,293.26416699428574,294.97125008,HUL
2,243.36596873272583,236.66040678603534,RAI
3,117.0462905127933,115.68537570420169,RAI
4,133.09828580854273,136.44071250852713,HUL
5,251.740356531677,249.62218874418238,RAI
6,263.5928738443832,257.49478924444446,RAI
7,125.56282805663183,122.70510271842988,RAI
8,246.45046701893986,243.8496534666667,RAI
9,258.62162657460317,261.0601952418199,HUL
10,211.2895001496018,210.459556958036,RAI
11,141.65242306031746,143.91516426183873,HUL
12,206.1546363319728,205.4597580734694,RAI
13,265.5547053724435,263.94435807536235,RAI
14,118.93570559854575,118.56303737599707,RAI
15,186.92768003555557,188.42298230134492,HUL
16,258.3791346852883,256.28455136046176,RAI
17,292.21044683428573,287.09270847238093,RAI
18,307.59727469874684,299.68354175999997,RAI
19,314.38456334122424,303.54189819259256,RAI
20,315.87060183703704,306.9585312318498,RAI
21,175.5575037365185,183.03547,HUL
22,142.66315804225783,135.580205253646,RAI
23,202.62915817929826,207.70827990272156,HUL
24,238.89410396312627,231.4073348693333,RAI
25,,265.9138663642412,HUL
