Minisector,PER,STR,Fastest
0,293.4756303090128,291.69184791885715,PER
1,307.3522865653781,303.7657258828011,PER
2,313.49293205360607,309.357833343256,PER
3,315.10531622206827,307.9210571585185,PER
4,197.89646003438523,193.53753594183567,PER
5,210.0031946460351,214.03754225015874,STR
6,266.5827830501332,266.4112864618735,PER
7,270.4520180462585,269.5161485583673,PER
8,183.95519251782196,178.6792728047912,PER
9,148.1189442004216,147.7901062161768,PER
10,177.1106178696888,176.91433683073438,PER
11,258.2670360023396,256.46010553467306,PER
12,252.79813567757574,251.95109091980774,PER
13,231.84893195721912,224.95465668227675,PER
14,274.1625564011544,266.99069301225603,PER
15,169.00281432621074,163.56708596685667,PER
16,214.16578235209082,219.64302468239617,STR
17,233.66923775261182,239.260877912282,STR
18,131.24518841516942,131.09361874303488,PER
19,242.98700542686353,239.44657896868574,PER
20,281.36223614471976,280.09927246674835,PER
21,242.79745775974578,238.18175284363636,PER
22,138.75007500922823,134.81429103167955,PER
23,211.04712042449634,202.7251485346457,PER
24,269.71530699616574,265.96610424419066,PER
25,,281.8374992,STR
