Minisector,TSU,GAS,Fastest
0,255.1169011209642,254.27018480643474,TSU
1,213.08368323260234,218.0830045678109,GAS
2,207.36925959081887,204.93475536667586,TSU
3,257.2681759394048,256.36878703312664,TSU
4,271.05395337317333,271.05985963011057,GAS
5,285.8214675705887,286.350259121552,GAS
6,162.2894058452595,165.08193657767137,GAS
7,187.43755180835893,181.0228033297587,TSU
8,267.5316624337222,266.60150609720466,TSU
9,289.22852661553304,290.3542629811371,GAS
10,299.009596762712,300.7720591331902,GAS
11,297.77527233742046,299.6634720259302,GAS
12,113.82180815115987,111.80927049288708,TSU
13,189.3703000122252,197.09026541045347,GAS
14,270.1588286543377,270.5271966254826,GAS
15,292.8366442958402,292.6262567874599,TSU
16,295.636931809393,299.19276376442355,GAS
17,184.8588086536105,184.6490151895622,TSU
18,222.0429541073889,227.08197607376945,GAS
19,265.29392451278557,268.935810624895,GAS
20,154.3299898730708,150.5895507788789,TSU
21,147.62114388272724,145.0161499248438,TSU
22,222.90695492177056,222.27255360902902,TSU
23,233.65967348003045,222.6461709097694,TSU
24,158.34597450483662,159.91889314394484,GAS
25,228.23333119999998,,TSU
