Minisector,ALO,LEC,Fastest
0,289.46766132155847,300.13141353202616,LEC
1,153.9176030374687,165.0904987880549,LEC
2,173.66972794766082,167.38405228977592,ALO
3,254.8934306973336,247.59002782577778,ALO
4,288.55187093696145,282.40439841693126,ALO
5,247.59232629629628,244.09130963279907,ALO
6,228.28341334857143,216.47539570152958,ALO
7,160.32717017522197,151.74376179732585,ALO
8,228.42307142942497,226.69336437456388,ALO
9,280.0490219270669,278.1489584811428,ALO
10,299.15158646627185,297.1736534358095,ALO
11,307.5644607843137,305.25339564485944,ALO
12,309.82282988888886,307.5219907555556,ALO
13,308.0025999975064,304.3295550338588,ALO
14,131.47350513125363,133.88713201544985,LEC
15,120.78199807310328,123.9436196384994,LEC
16,104.35846471735684,104.85632450576865,LEC
17,233.99370553812244,231.55152691823335,ALO
18,289.92284549761143,284.20913514405873,ALO
19,307.0010875755899,305.96020671331365,ALO
20,315.7688016108392,315.91512412114287,LEC
21,320.3824305422222,320.4341891832568,LEC
22,128.5607928280061,127.36576925630808,ALO
23,200.98294844980248,199.20569951304415,ALO
24,269.1581619198629,268.58713890938776,ALO
25,,282.88124992,LEC
