Minisector,ALB,RAI,Fastest
0,323.4057957533835,300.6454054046011,ALB
1,330.854414340457,301.57537881212124,ALB
2,273.2210144927536,263.94765873258734,ALB
3,160.776511325209,152.20499729042723,ALB
4,165.7093842334517,172.72767789030294,RAI
5,215.1506944,213.9893583814609,ALB
6,227.70769565480464,230.0302969710855,RAI
7,214.83333333333334,211.97422344332597,ALB
8,262.4442746243912,264.0563966635269,RAI
9,257.03312629399585,258.42908472573015,RAI
10,273.58779761904765,271.7290178985239,ALB
11,270.6834553628359,274.4249998310559,RAI
12,262.93416666666667,270.3028335847619,RAI
13,260.6371747631727,260.0162561423163,ALB
14,175.6642857142857,172.75538062861352,ALB
15,236.49413142956053,238.01920884635112,RAI
16,210.4437602627258,208.5443445467204,ALB
17,177.87131599485198,169.14661788500138,ALB
18,258.2708333333333,255.81867245216824,ALB
19,285.6422905660826,283.82326024209976,ALB
20,251.4352380952381,252.01819027985346,RAI
21,190.72845751576148,186.250640208127,ALB
22,257.68831168831167,257.8085702539403,RAI
23,283.65063085116816,284.7886315035005,RAI
24,296.3712121212121,296.1348083279503,ALB
25,,300.0,RAI
