Minisector,VER,NOR,Fastest
0,298.6266713405709,310.83936685507626,NOR
1,240.8839929826581,231.92588043326984,VER
2,130.60047894460192,125.85373560166941,VER
3,239.0675018225067,231.09735853559238,VER
4,192.2223718805054,192.0460940825611,VER
5,237.87943287085318,241.12056435914803,NOR
6,220.9324770080366,226.3796831721495,NOR
7,250.42341035205936,252.46676853018064,NOR
8,282.6522669186674,278.23292228053333,VER
9,215.76498980656524,213.4932762268398,VER
10,203.62311413760142,202.5380225613492,VER
11,270.87286858666664,269.4616176944485,VER
12,210.85413676257008,205.53113870929292,VER
13,249.89667188802986,241.95174712960252,VER
14,291.65989098152136,288.2119452908975,VER
15,307.2516961701587,308.8303024272682,NOR
16,313.66813267275336,308.2419710261472,VER
17,243.39580424314872,222.17087150040152,VER
18,261.7644590340663,265.0138565039456,NOR
19,296.69912076579675,297.37267568482923,NOR
20,310.4394937303167,316.96176240028825,NOR
21,312.10321017454544,315.41156680076193,NOR
22,147.29671054863724,141.29961440774397,VER
23,228.69244465277342,233.0792730820063,NOR
24,285.07696361419914,291.04673432137565,NOR
25,294.5374992,,VER
