Minisector,PER,HAR,Fastest
0,249.08804757505538,244.97685222665177,PER
1,286.4496881777778,282.0063492063492,PER
2,173.63032283697478,174.89734783478028,HAR
3,161.2510479869633,158.94716598435355,PER
4,257.3222449487528,254.82618874812658,PER
5,273.5208501423844,271.12099673926394,PER
6,229.21671256263738,224.3653809042097,PER
7,201.28964585951996,199.34846068352766,PER
8,155.63942129525563,159.6462060427802,HAR
9,216.10058337893483,215.45499918696623,PER
10,272.8128571733333,268.8113872200013,PER
11,132.2460776546584,130.56202113521667,PER
12,212.50577016246893,210.4533495760141,PER
13,276.35963717369617,272.5586511622983,PER
14,297.89729193904765,295.04357116190477,PER
15,308.279125961383,303.9456140350878,PER
16,238.12857813413262,247.19214714648828,HAR
17,129.4582894011138,128.72832370353973,PER
18,128.8921351723294,125.5070248010932,PER
19,117.84891982073069,117.92286248830295,HAR
20,221.19321054814813,221.29540439161906,HAR
21,250.35008364100145,251.51951563269753,HAR
22,225.57036882962964,234.9553090095238,HAR
23,207.66203984440637,211.9935182241883,HAR
24,135.43174656653488,132.99720855441214,PER
25,,216.0,HAR
