Minisector,NOR,BOT,Fastest
0,269.77361126736844,270.071541341498,BOT
1,297.534843756041,300.57305934225775,BOT
2,311.4927858055977,319.49559936820515,BOT
3,320.75708327873014,331.485003674014,BOT
4,325.5600641476923,339.55831329862434,BOT
5,328.76534223352405,341.7695436952381,BOT
6,192.69268884334974,205.39022294233766,BOT
7,104.11502873457557,102.19194707156902,NOR
8,183.1754776752268,176.60257752029304,NOR
9,258.36147482328045,264.68633361707157,BOT
10,287.29808532143625,296.5778475747186,BOT
11,164.05464705288804,157.08885824,NOR
12,92.33243598824691,92.0050097193698,NOR
13,112.81207125679653,111.97230297774905,NOR
14,209.8254230931892,214.47460865301917,BOT
15,178.35720573108225,174.25613963728168,NOR
16,214.16846779135616,215.67512241944306,BOT
17,171.46343940031,167.13795742452382,NOR
18,233.33186003374007,231.89562486459627,NOR
19,274.9803366396741,280.418853720099,BOT
20,229.32145475445958,241.07667788700843,BOT
21,137.68961000191146,136.59508532825095,NOR
22,95.53269205015371,94.76877876895968,NOR
23,116.08876023485031,115.5221448814011,NOR
24,220.2634540475844,217.746805528341,NOR
25,,252.35833173333333,BOT
