Minisector,LEC,PIA,Fastest
0,305.3894031489645,305.39035352533335,PIA
1,321.3503434901099,321.37153781924434,PIA
2,295.0924613165121,283.6400170183896,LEC
3,110.79251139037027,109.83888581552134,LEC
4,226.68660753667825,219.34811034288703,LEC
5,273.0789913483881,270.1535462293996,LEC
6,181.43618435888197,198.94921195205387,PIA
7,172.82548405539026,165.74942632031332,LEC
8,212.5007084171722,210.60646483470632,LEC
9,220.94080750949956,218.41398765996473,LEC
10,115.65828590158065,110.49363272777607,LEC
11,232.1711330276746,233.1611856580781,PIA
12,119.71667540115425,117.23239416778839,LEC
13,227.28467573968254,229.91970462766582,PIA
14,275.92728867776543,274.1431714694023,LEC
15,230.30823289904762,199.52078938231293,LEC
16,195.6064441643925,204.44326698309976,PIA
17,252.46289806517288,256.6467762389611,PIA
18,186.66213880157719,202.23984762711714,PIA
19,187.6840835535972,184.80035371437694,LEC
20,264.264221426087,268.7356440417893,PIA
21,289.8570575784917,294.77866419019404,PIA
22,176.34996888606972,159.67184691609023,LEC
23,212.96965854052758,221.9939619614699,PIA
24,271.907838498355,278.6841837361039,PIA
