Minisector,HAM,VER,Fastest
0,325.52435199818086,322.6476197194333,HAM
1,334.4604630602385,331.36414021563115,HAM
2,338.0723322709915,330.7948333333333,HAM
3,194.33689479111112,199.3939624299279,VER
4,135.1168648122673,134.28921355475217,HAM
5,265.9595104884656,268.90985895568264,VER
6,301.69943473902475,302.3260575612121,VER
7,318.61387434301616,314.5872158884848,HAM
8,281.9876959240514,289.4923738395031,VER
9,142.92033550209604,150.46617837093285,VER
10,231.43905467790657,224.9490169242695,HAM
11,234.03500244605246,230.58028968058608,HAM
12,207.15255671988822,208.22915105761493,VER
13,269.3903003924387,270.072252728647,VER
14,307.26145192565417,306.35834003285464,HAM
15,325.49287827482993,320.42942647341994,HAM
16,276.4719768560501,280.9839127288719,VER
17,214.4454999605346,220.87221601800348,VER
18,280.3949155652896,280.06874755044777,HAM
19,311.49707143585374,308.71954365079364,HAM
20,326.36749404559885,318.4857955717172,HAM
21,319.64557296,310.71732026024597,HAM
22,214.41963479571427,215.81945160815155,VER
23,271.5194623037441,264.92441879154063,HAM
24,303.97361771730715,293.05246658031746,HAM
25,312.26499904,304.008,HAM
