Minisector,BOT,STR,Fastest
0,284.90979168,284.5735228014629,BOT
1,289.74861112865307,290.29798302645503,STR
2,174.89635493333333,167.145490332754,BOT
3,218.44904952421118,216.10799863466664,BOT
4,268.10392871619047,268.88104074666666,STR
5,288.46754380350876,289.35835021071057,STR
6,289.4236911077918,293.27816441102755,STR
7,177.27056571182794,180.06276532299879,STR
8,122.33766052603069,119.66722487394357,BOT
9,245.9384930668759,246.62427018719768,STR
10,281.5187752682078,280.9962713263158,BOT
11,289.055044154386,288.71574080000005,BOT
12,148.4255440496996,148.59322202953436,STR
13,190.69613108571428,186.5959810151709,BOT
14,252.64642854603176,244.77413823883256,BOT
15,208.39737622286296,208.71005186813187,STR
16,212.217787654807,205.5969646036521,BOT
17,217.07882164762978,211.12296300659338,BOT
18,242.10032454372293,238.98644597857444,BOT
19,272.81418561048685,271.64431783051236,BOT
20,289.50865006988516,289.5773178867168,STR
21,268.8737499733333,257.9318016966014,BOT
22,228.02980050047552,213.58942466227106,BOT
23,203.2070704151324,194.05610918076567,BOT
24,260.54412883364995,256.4423326732093,BOT
25,,274.381248,STR
