Minisector,VER,VET,Fastest
0,270.96468246349207,272.66372960575154,VET
1,298.24549548513164,297.1155090962963,VER
2,316.9817703333333,310.58156999026875,VER
3,328.96432543091976,319.75841917355507,VER
4,335.6689682387302,324.37968746666667,VER
5,339.0835938,326.41822913333334,VER
6,228.95367138911752,218.85458092789432,VER
7,108.12847001342439,106.77309801649467,VER
8,182.41062961373606,182.92467715274347,VET
9,268.4563082819048,263.3488685539983,VER
10,302.0258434202037,292.42879408856777,VER
11,178.33244403946992,174.83240194085445,VER
12,98.78339865214603,96.5724925856094,VER
13,116.38300181962651,116.16579622605316,VER
14,225.3182117161348,225.93775367702952,VET
15,191.7309061108757,189.57979233667658,VER
16,232.81889722371037,225.4341601572012,VER
17,187.33056687455118,180.79919682283807,VER
18,238.87335302034714,239.89371054906832,VET
19,280.44892100048713,281.7345527829018,VET
20,261.5468253968254,254.31414200001194,VER
21,152.1855822043948,147.557538971702,VER
22,99.40314405921416,94.88069863784173,VER
23,126.67288565913448,125.4463866876542,VER
24,225.40264282671262,229.05491078095238,VET
25,256.8624992,,VER
