Minisector,RIC,VET,Fastest
0,288.035869542029,296.180980738322,VET
1,306.19044100315995,313.9049907697198,VET
2,302.1220455527605,314.5783333333333,VET
3,183.4948911674525,183.0988923954772,RIC
4,223.97395855238096,224.7142551892552,VET
5,210.7720235159946,210.21932519232917,RIC
6,194.94907306229737,190.95118464099286,RIC
7,215.79035273315907,219.2111225064618,VET
8,259.418403253068,264.1410625222431,VET
9,264.67762173828953,265.7911491246377,VET
10,173.4173842558101,179.51863311705455,VET
11,239.70227739682662,243.60079573138526,VET
12,119.06433340871347,122.87131930808614,VET
13,228.37566258906529,227.81700422773127,RIC
14,275.66313791583053,279.24590784255645,VET
15,282.77559517229435,292.4073696145125,VET
16,211.79841370365335,219.23083052865059,VET
17,187.265910376912,185.78627242668384,RIC
18,271.3184858189376,274.88404283869613,VET
19,296.81309556825397,301.0230952380952,VET
20,308.334390664492,312.5266910723505,VET
21,307.91249973333333,313.5338095238095,VET
22,270.00543147220816,295.93095238095236,VET
23,118.27399146283175,118.23263875555556,RIC
24,243.45142226390422,241.6891084228691,RIC
25,,280.9277774222223,VET
