Minisector,VER,OCO,Fastest
0,306.5934525714286,297.33151248592594,VER
1,240.69871278370442,253.89696381335978,OCO
2,130.5712686454144,127.31672199884139,VER
3,240.62635629241413,235.3479008246962,VER
4,196.22387466884354,191.89964121045216,VER
5,251.66877437963524,244.01303920310554,VER
6,232.27544132368254,228.50737594236512,VER
7,257.4978761127619,251.7809026629211,VER
8,292.2750154609778,283.04982217071205,VER
9,213.73824402827623,214.13149824669182,OCO
10,199.6306631329225,197.67264974245117,VER
11,276.55681004969694,268.40491204534754,VER
12,214.0681007520569,215.50923004569955,OCO
13,247.4312142615873,245.01069698020623,VER
14,293.1183615370248,287.1830267115323,VER
15,309.663148277539,301.5264337811289,VER
16,311.8826057707231,298.52530940948185,VER
17,212.23886390263175,213.3523093122344,OCO
18,260.24765645235885,259.41503268044573,VER
19,299.7006625713823,292.3754359542857,VER
20,311.59098632623375,305.1238629422222,VER
21,315.4003750933333,310.791838257479,VER
22,152.7774522695506,151.7655677614522,VER
23,233.49005632257897,227.72218012509984,VER
24,288.1401241411992,281.69713005105604,VER
25,,292.0045463272727,OCO
