Minisector,RUS,SAI,Fastest
0,288.7094958185941,290.6941358649639,SAI
1,297.5340441411765,301.85746073656867,SAI
2,301.03729949946523,307.16278256435953,SAI
3,298.78508719157895,303.6289411030913,SAI
4,167.86085449335303,166.47145259367295,RUS
5,207.72601959866347,202.22805782568508,RUS
6,227.45609723555555,229.92610987123808,SAI
7,259.97889637434264,261.6085296409269,SAI
8,255.72731292721204,252.08842870857143,RUS
9,162.32742247823617,159.10365081094983,RUS
10,224.3441312952053,222.4741809044888,RUS
11,134.1859757373189,125.34803875649072,RUS
12,226.65081925315582,225.90557089415358,RUS
13,183.1548811310451,178.2954629377064,RUS
14,216.4093277822465,210.83847006432023,RUS
15,230.02200490143338,235.81121355301585,SAI
16,254.21227205756435,257.8872881559906,SAI
17,279.27628251877724,285.0229916377554,SAI
18,155.0580302020235,149.38884318652498,RUS
19,166.88518593976767,163.76787539033833,RUS
20,141.4121574704357,137.33847565133487,RUS
21,221.71867680984124,224.3689154806653,SAI
22,255.58669471200793,258.4516165970202,SAI
23,243.5028195812197,246.38323682914904,SAI
24,268.05269185994047,274.205989011688,SAI
25,280.7928576,285.01590865454546,SAI
