Minisector,PIA,LEC,Fastest
0,268.82585098209523,271.92916345907054,LEC
1,287.30382239492064,286.3072355629868,PIA
2,293.78607162890756,288.4145427660131,PIA
3,131.24465315861949,129.3123342064934,PIA
4,198.08433210655625,195.57962730188032,PIA
5,255.22358610665668,256.763449813404,LEC
6,145.2537878290476,143.54035364785167,PIA
7,211.6578684409931,204.7344276063461,PIA
8,258.2722124958025,257.89394801269844,PIA
9,274.82480236270675,275.41224195003065,LEC
10,245.79135031594134,239.38369408521302,PIA
11,185.334931336409,187.16246876646144,LEC
12,198.439878376178,191.1719229587547,PIA
13,141.00388937415917,146.03895202362145,LEC
14,178.74901341619446,178.14399308426303,PIA
15,166.6338278179069,159.24100279794038,PIA
16,222.01180117267083,216.11896715916356,PIA
17,245.17641662464766,243.41429753866848,PIA
18,249.05540953452171,247.72621815177942,PIA
19,241.57097866545732,249.84862773818182,LEC
20,149.91268037284826,146.89761233521716,PIA
21,134.4769294605628,131.13754959863286,PIA
22,169.7085432373788,162.1288796097702,PIA
23,153.8178599268661,153.01856551865507,PIA
24,233.13399026526315,225.59458212759031,PIA
25,258.08571245714285,257.2920459636364,PIA
