Minisector,VER,HAD,Fastest
0,290.5731459526494,297.79263271771094,HAD
1,160.10046424752883,160.36217993343635,HAD
2,155.01885433974195,161.5936264774851,HAD
3,227.83295660228063,228.23118728112019,HAD
4,285.77956817916305,285.81825390732695,HAD
5,295.7638665935997,294.42511017744584,VER
6,151.06574765549772,146.48481336808206,VER
7,143.46450151517107,133.51286616568098,VER
8,142.45861267629076,138.79296814900593,VER
9,185.98180311312268,187.19385142466922,HAD
10,131.42802653269297,136.32009627687424,HAD
11,130.61715624305128,128.78046698128858,VER
12,166.45264741502632,162.46001478627883,VER
13,267.8509124484183,265.5894212413135,VER
14,296.4294636523565,292.5828091894136,VER
15,159.53570788340514,146.87756867305256,VER
16,219.87084153983056,208.17965876446183,VER
17,171.9265494896623,174.50504869652826,HAD
18,271.1006781710793,270.8452569701933,VER
19,294.2955206059467,295.4067975557433,HAD
20,307.66621857707315,310.03063250078907,HAD
21,316.2335968163724,318.5507910751859,HAD
22,321.22499163875557,322.3341257101833,HAD
23,323.55105639746097,325.5930133828571,HAD
24,322.0910966288048,321.5633568629197,VER
