Minisector,VET,RIC,Fastest
0,282.4895933000536,276.6589381608533,VET
1,295.61890326039946,290.4357258051537,VET
2,243.81101054509415,225.8717835568915,VET
3,120.94894859287628,114.86177465198404,VET
4,146.02322692092162,140.82828379322356,VET
5,254.3806930582553,248.9738320537093,VET
6,256.20672374062406,239.65510273886812,VET
7,130.95450402706427,126.83045379052803,VET
8,251.09268820255224,245.65826907117426,VET
9,265.817091340472,243.85087580918074,VET
10,220.0634828062257,203.46341167466406,VET
11,148.7455376644271,140.40112147084545,VET
12,218.65772500491914,211.86204509513206,VET
13,261.92009436315914,250.3028259047619,VET
14,118.57460971033343,113.32892223574336,VET
15,206.2210428750628,194.2835686153087,VET
16,260.9673791639611,256.6815553640089,VET
17,286.37953374744774,284.91618342738826,VET
18,297.15906448372596,295.0147183126223,VET
19,300.7433499645454,297.4615959103186,VET
20,299.6467417966882,296.9110415466667,VET
21,159.28041597749865,140.16363498751895,VET
22,163.7857149806396,171.583303937078,RIC
23,205.3288904288447,189.5952073499956,VET
24,242.13464052329428,238.62369294703905,VET
25,267.80597104269725,,VET
