Minisector,ALB,STR,Fastest
0,280.0942705320415,279.4016809534923,ALB
1,289.1286409828571,297.0270973659344,STR
2,238.77515199449735,233.52108045206347,ALB
3,113.16310592135866,119.76315061967543,STR
4,137.707009032867,131.4895189060233,ALB
5,252.81893686739397,247.02717787924612,ALB
6,255.95178450229693,257.7950464710524,STR
7,124.21024545808335,124.51684700311479,STR
8,245.46209049292085,244.0933496176722,ALB
9,256.6434669695238,238.87284159036787,ALB
10,213.47739950516015,204.74344767938763,ALB
11,143.11578255893502,147.14604077314846,STR
12,206.82575809186784,201.62881786181816,ALB
13,264.37676082002065,263.09157369397184,ALB
14,118.27236983718129,120.3163203791491,STR
15,192.09940262330048,191.3657782578243,ALB
16,259.6410280643386,258.62490879536233,ALB
17,291.76778479457136,292.0536749482402,STR
18,304.40126978201056,309.5330109843485,STR
19,311.6603900066165,323.62197803276706,STR
20,314.40053924392157,332.3514880952381,STR
21,167.7329580631258,173.76479052474664,STR
22,138.124256947405,141.96650884903914,STR
23,198.59624723398863,203.34567035147393,STR
24,240.65609684285712,235.89324931239858,ALB
25,,267.58888675555556,STR
