Minisector,LEC,COL,Fastest
0,276.99634252506513,283.39074055962476,COL
1,285.08151501284846,297.5659316085691,COL
2,269.7971676823147,275.8440488268607,COL
3,177.35005489768838,169.42309442439927,LEC
4,115.82489398728136,114.54493986958038,LEC
5,245.72470520353247,239.12150081176316,LEC
6,298.22889610419196,286.30445303081416,LEC
7,309.6603219690816,294.37693747658403,LEC
8,171.71236276437773,176.07337223988358,COL
9,136.77714896427383,130.70264319188703,LEC
10,248.93455670457394,246.73864118627463,LEC
11,283.83058954118746,291.67892402283707,COL
12,288.85932533038743,293.84318351619044,COL
13,275.4594550739927,264.3863619303619,LEC
14,287.86121281626913,282.0492412251088,LEC
15,279.6569723926833,279.3264242715151,LEC
16,243.69662638134383,242.68176535736262,LEC
17,219.00511668215182,208.80646609773976,LEC
18,285.00882364275134,268.57581597074096,LEC
19,309.4372223573333,295.0376416064227,LEC
20,306.0085381721553,298.038750144,LEC
21,225.89277037641725,220.88413959202688,LEC
22,235.07223021824822,229.26570610609272,LEC
23,134.76579288699762,134.6696411547619,LEC
24,206.93835505913123,196.35891216994318,LEC
25,,255.9000007111111,COL
