Minisector,SAI,OCO,Fastest
0,307.5682278558968,304.94473678596495,SAI
1,240.39563565263092,235.00027117807852,SAI
2,136.1992543633797,131.16758879619047,SAI
3,218.7568548590646,213.85391949039018,SAI
4,263.67083424000003,260.3497908419048,SAI
5,290.4165309317013,285.71552126846274,SAI
6,304.28921568627453,300.1935928945185,SAI
7,293.312497362963,280.4087748491228,SAI
8,178.27445909891628,171.0038490262006,SAI
9,239.57689527272726,236.19764405797102,SAI
10,273.7446335206562,270.32812458666666,SAI
11,267.8929155733333,256.84915014166626,SAI
12,206.51833309866666,198.24020147106228,SAI
13,128.47732868611837,123.3966753295238,SAI
14,124.79268758688708,119.99191741243925,SAI
15,163.47324845714286,155.64648224985993,SAI
16,123.40524577513588,122.75623129794666,SAI
17,228.54166784927537,224.93749936231887,SAI
18,190.29884815448278,172.66535881474522,SAI
19,156.69537990364145,162.0600422464755,OCO
20,245.347081347483,244.34331761552613,SAI
21,274.5354172266667,273.99770794666665,SAI
22,291.64828095999997,289.0705853648113,SAI
23,301.44976865185185,298.5057016140351,SAI
24,305.37500003137256,303.03946070588233,SAI
25,306.48333333333335,,SAI
