Minisector,LEC,HAM,Fastest
0,252.44625272681142,252.42858247576717,LEC
1,217.80942104035555,217.25157350054934,LEC
2,202.92168898150118,212.23309517774064,HAM
3,255.6450012248804,261.08416411048296,HAM
4,270.7699998526984,275.7139770888312,HAM
5,289.3682222648889,293.7094388716553,HAM
6,157.8433706685152,152.80923878139316,LEC
7,162.61051040263374,181.7801619036969,HAM
8,265.7285965213362,269.1179524549184,HAM
9,295.4379774625801,299.6913661563581,HAM
10,308.24275360551917,310.74174923597883,HAM
11,312.1596180724059,308.2684399567595,LEC
12,117.16638536752615,105.08364268064224,LEC
13,193.35943125287463,190.666242183352,LEC
14,269.44036449634643,271.9246882106326,HAM
15,293.9963415597861,295.81743467134936,HAM
16,301.85350993868974,301.7021490441559,LEC
17,187.47937253056958,191.84402818797446,HAM
18,215.7272125394061,222.5413988786325,HAM
19,268.7625507426263,272.27250077605476,HAM
20,145.60133414106207,147.08262529213232,HAM
21,144.74316561767188,146.28773925333334,HAM
22,218.54276129575757,229.63514662885174,HAM
23,233.49435618462292,247.6799489111111,HAM
24,161.6912732928869,156.48517928838305,LEC
25,224.61111466666668,226.29384944761907,HAM
