Minisector,OCO,ALO,Fastest
0,292.66851165201786,295.8994227191043,ALO
1,297.347984628254,298.3514663736381,ALO
2,159.0695110885255,155.3504208434062,OCO
3,221.2531025822436,222.29586161668135,ALO
4,276.0587805852814,279.00680290786136,ALO
5,302.6032995856054,305.7836338474088,ALO
6,308.93651721094875,309.01234482171003,ALO
7,180.32654475586406,168.3437740730582,OCO
8,123.40825434916214,125.94022817029298,ALO
9,247.32364382538526,245.00571951259462,OCO
10,289.18467705044753,280.358737145266,OCO
11,298.2243064888889,289.179414615873,OCO
12,142.74180893942398,150.92265852015817,ALO
13,190.12148833260073,195.90642942664138,ALO
14,247.6436261298805,250.0832775697542,ALO
15,195.35736890006686,205.75095931234026,ALO
16,206.45096316703882,218.89808513679318,ALO
17,203.3547435502301,209.3926110635339,ALO
18,238.4742440169697,241.90242328067228,ALO
19,272.0632335983193,272.8364314393277,ALO
20,286.40931681257143,284.98300272380953,OCO
21,259.4445093225389,260.08728466427533,ALO
22,221.2312445562283,223.3209965021645,ALO
23,193.31256039511982,210.08907092657049,ALO
24,257.4642622408242,262.3249269405547,ALO
25,272.63124880000004,,OCO
