Minisector,BOT,KVY,Fastest
0,291.80781313333335,277.0031393643276,BOT
1,131.38741780194042,126.67605755577216,BOT
2,169.23645725714286,156.30407976644975,BOT
3,224.46043702032722,208.80881700501405,BOT
4,173.83594391247217,162.70220974126255,BOT
5,248.2356474074074,239.79809474501772,BOT
6,209.90156364444445,207.8247280644962,BOT
7,147.6128606710106,132.91205199742166,BOT
8,242.2009915767196,228.23916565333334,BOT
9,279.60212787856415,271.1032020084146,BOT
10,291.3754764088889,283.1644960268908,BOT
11,155.9709458790539,148.1975438468647,BOT
12,226.35702006971707,218.56862216417233,BOT
13,272.83009214814814,265.312794829305,BOT
14,280.57195038285715,265.6868071111111,BOT
15,107.48994881269842,101.56330924410562,BOT
16,221.0779806273685,218.03636373333336,BOT
17,268.8629623703703,266.9345765767006,BOT
18,290.41838836265435,286.4757810666667,BOT
19,300.1167145397361,296.1359374,BOT
20,305.4899998577778,300.5170042181538,BOT
21,298.0418231239695,275.8261574518518,BOT
22,164.0843325514371,154.78828291477646,BOT
23,233.09763419316323,231.09812442666666,BOT
24,276.6917798652159,270.5713624126984,BOT
25,,280.2291669333333,KVY
