Minisector,NOR,TSU,Fastest
0,297.286573708642,295.4778027701888,NOR
1,155.97438663654546,157.2813838103534,TSU
2,150.2485527414565,153.16085630202127,TSU
3,223.18370721784552,225.17152236190478,TSU
4,286.8079531763809,287.92373844821594,TSU
5,289.5328705580247,295.327999232,TSU
6,141.2883083516395,147.28599463018082,TSU
7,140.9644588589051,140.95339892558792,NOR
8,145.2163168254354,149.91375691948568,TSU
9,177.22008172354418,172.61225051730153,NOR
10,132.40599420311503,131.7164317455137,NOR
11,124.62077624798958,129.47397243263455,TSU
12,164.28743871594423,159.68945703949277,NOR
13,269.6175994572481,268.69846766676187,NOR
14,295.5499576801475,293.2191667626667,NOR
15,150.8365288747588,153.5957839020408,TSU
16,211.0936163106397,209.12738057142857,NOR
17,164.39400635027735,168.37230881731602,TSU
18,270.1263108959574,272.6795793943979,TSU
19,297.5316906605714,295.29100014933334,NOR
20,311.6336945785506,308.6675051081902,NOR
21,319.52632576969694,316.56822919999996,NOR
22,322.8126669636899,319.7567029333333,NOR
23,332.3437495834268,322.48134061449275,NOR
24,332.9806183377708,321.116269784127,NOR
