Minisector,OCO,MAG,Fastest
0,292.66851165201786,284.5655363773465,OCO
1,297.347984628254,291.7161277,OCO
2,159.0695110885255,152.43607113605444,OCO
3,221.2531025822436,219.66217645072683,OCO
4,276.0587805852814,268.52892145080006,OCO
5,302.6032995856054,288.8859049698178,OCO
6,308.93651721094875,294.9368444708571,OCO
7,180.32654475586406,175.85743187611004,OCO
8,123.40825434916214,123.75632573839277,MAG
9,247.32364382538526,243.42691677482506,OCO
10,289.18467705044753,282.00435644342855,OCO
11,298.2243064888889,288.8141398785185,OCO
12,142.74180893942398,142.4435039629022,OCO
13,190.12148833260073,187.34170235511735,OCO
14,247.6436261298805,252.45327572948423,MAG
15,195.35736890006686,202.96906953064934,MAG
16,206.45096316703882,210.59519581644875,MAG
17,203.3547435502301,205.5208269231608,MAG
18,238.4742440169697,241.79410846559506,MAG
19,272.0632335983193,272.2316890378667,MAG
20,286.40931681257143,290.3929126142857,MAG
21,259.4445093225389,261.38349411293484,MAG
22,221.2312445562283,220.83986323354242,OCO
23,193.31256039511982,191.65850258288938,OCO
24,257.4642622408242,256.4354764666431,OCO
25,272.63124880000004,274.76999936,MAG
