Minisector,NOR,VER,Fastest
0,313.5736986952381,316.34120051976106,VER
1,325.0309050238924,329.7030375938788,VER
2,328.80571187364853,334.5342040162757,VER
3,311.2959844667086,312.3937689780947,VER
4,153.21457027897125,156.08026555974814,VER
5,186.96741846683727,192.1657346457654,VER
6,215.70278098359734,215.50413496474215,NOR
7,259.9000531917133,261.86975740926704,VER
8,239.30238606335382,234.07600232218465,NOR
9,151.84465550314243,154.52291243514406,VER
10,203.91181028313167,215.7505948574947,VER
11,127.45558598008023,124.35381396079815,NOR
12,233.47535400173163,231.44248830471318,NOR
13,157.94977806843744,170.2776253897101,VER
14,214.982941925409,203.25275891669526,NOR
15,224.98058220638583,213.39746584048052,NOR
16,261.55091306046336,251.82294421298985,NOR
17,289.87261416605827,294.37440358976045,VER
18,152.80607710866428,144.42062573127882,NOR
19,159.79168227772035,154.70108394265344,NOR
20,135.69075947582638,134.96651418624927,NOR
21,226.5600036832368,221.21925806623256,NOR
22,248.86791534488438,248.81939442672427,NOR
23,233.92192038780385,235.30562097584775,VER
24,283.71088370022534,280.3485443852263,NOR
25,,305.8166656,VER
