Minisector,BOT,ALB,Fastest
0,260.46958825253944,254.6668079784985,BOT
1,127.97376075698023,131.75762839063796,ALB
2,199.7058418713599,195.4735178390003,BOT
3,249.5677565681332,245.86754835199437,BOT
4,261.11200323331275,255.09849814397407,BOT
5,173.8250127719009,172.30825520936224,BOT
6,148.58009484201762,144.33549017608044,BOT
7,187.84972934813374,180.03982522474527,BOT
8,102.3018259137728,102.31641095531269,ALB
9,73.43682820148234,73.95629339423563,ALB
10,95.18489328724894,95.30829726268135,ALB
11,186.22823158731606,185.4345221225608,BOT
12,248.1137978048852,246.07360655089815,BOT
13,273.19842151036636,271.28903811076816,BOT
14,286.2705907685698,279.64403004936116,BOT
15,118.1388824123364,111.21079335655837,BOT
16,144.35502842014236,149.0734907952993,ALB
17,187.14288683657304,184.537350821323,BOT
18,200.6414766416405,194.07484873374105,BOT
19,212.40826729354444,203.23850833633674,BOT
20,138.62345877016028,135.67457312474198,BOT
21,114.27818175361158,108.96927549925262,BOT
22,94.0186509874342,99.55713707244298,ALB
23,196.1465654717165,200.61630297236778,ALB
24,254.2392102869235,252.45823055184695,BOT
