Minisector,RUS,ALO,Fastest
0,294.298249984,298.3068730952381,ALO
1,207.09914936565656,210.8504250496032,ALO
2,141.9098323661516,138.5574997165772,RUS
3,217.10415584415585,217.30293502408972,ALO
4,161.0786422002782,162.8908155726077,ALO
5,184.78537374337662,170.32280050624084,RUS
6,253.6007837171227,247.6392211499118,RUS
7,277.1544668908151,275.4079731649123,RUS
8,282.9093694335097,281.6571758010582,RUS
9,267.3787831675186,252.9551927669841,RUS
10,253.99993571676492,240.1139087472864,RUS
11,245.7747892278697,243.24155869588702,RUS
12,208.877175787961,210.46348233630476,ALO
13,134.00586306009583,138.97578371833802,ALO
14,144.63403515670302,141.81564898102198,RUS
15,177.55694822162965,173.3347488128,RUS
16,250.54436870927103,246.62130883809522,RUS
17,231.6338289719662,232.8877470104838,ALO
18,112.53959254925012,113.04922973318492,ALO
19,203.344598043366,191.35019704491773,RUS
20,198.61701201586027,193.14985950355054,RUS
21,234.38888234240363,231.43220217433768,RUS
22,263.43168232903827,270.22312635296703,ALO
23,279.96933152999287,293.5956894541075,ALO
24,289.5482239494431,310.3280974312088,ALO
25,,316.9687488,ALO
